Group,wallet_address,token_name,token_address,amount,denom
3,osmo1n2270jpgecxxfffkucfnyp0zffeh4h076s2qru,mars,ibc/573FCD90FACEE750F55A8864EF7D38265F07E5A9273FA0E8DAFD39951332B580,8,
3,osmo1n2270jpgecxxfffkucfnyp0zffeh4h076s2qru,dydx,ibc/831F0B1BBB1D08A2B75311892876D71565478C532967545476DF4C2D7492E48C,1.80516E+13,
3,osmo1n2270jpgecxxfffkucfnyp0zffeh4h076s2qru,dym,ibc/9A76CDF0CBCEF37923F32518FA15E5DC92B9F56128292BC4D63C4AEA76CBB110,3.54676E+12,
3,osmo1n2270jpgecxxfffkucfnyp0zffeh4h076s2qru,huahua,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,14858832407,
3,osmo1n2270jpgecxxfffkucfnyp0zffeh4h076s2qru,statom,ibc/C140AFD542AE77BD7DCC83F13FDD8C5E5BB8C4929785E6EC2F4C636F98F17901,80,
3,osmo1n2270jpgecxxfffkucfnyp0zffeh4h076s2qru,wbtc.axl,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,534,
3,osmo1n2270jpgecxxfffkucfnyp0zffeh4h076s2qru,usdc.axl,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,499385285,
3,osmo1n2270jpgecxxfffkucfnyp0zffeh4h076s2qru,osmo,uosmo,841405,
3,osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,pbb,factory/osmo1q77cw0mmlluxu0wr29fcdd0tdnh78gzhkvhe4n6ulal9qvrtu43qtd0nh8/pbb,500029,
3,osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,akt,ibc/1480B8FD20AD5FCAE81EA87584D269547DD4D436843C1D20F15E00EB64743EF4,97,
3,osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,pasg,ibc/208B2F137CDE510B44C41947C045CFDC27F996A9D990EA64460BDD5B3DBEB2ED,57,
3,osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,arch,ibc/23AB778D694C1ECFC59B91D8C399C115CC53B0BD1C61020D8E19519F002BDD85,1E+12,
3,osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,atom,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5,
3,osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,bld,ibc/2DA9C149E9AD2BD27FEFA635458FB37093C256C1A940392634A16BEA45262604,55,
3,osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,usdc,ibc/498A0751C798A0D9A389AA3691123DADA57DAA4FE165D5C75894505B876BA6E4,9707,
3,osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,jkl,ibc/8E697BDABE97ACE8773C6DF7402B2D1D5104DD1EEABE12608E3469B7F64C15BA,46,
3,osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,flix,ibc/CEE970BB3D26F4B907097B6B660489F13F3B0DA765B83CC7D9A0BC0CE220FA6F,18,
3,osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,usdc.axl,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,607904981,
3,osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,bcna,ibc/D805F1DA50D31B96E4282C1D4181EDDFB1A44A598BFF5666F4B43E4B8BEA95A5,70,
3,osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,mpwr,ibc/DD3938D8131F41994C1F01F4EB5233DEE9A0A5B787545B9A07A321925655BF38,98,
3,osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,cudos,ibc/E09ED39F390EC51FA9F3F69BEA08B5BBE6A48B3057B2B1C3467FAAE9E58B021B,4.66135E+13,
3,osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,grav,ibc/E97634A40119F1898989C2A23224ED83FDD0A57EA46B3A094E287288D1672B44,78,
3,osmo1w8vcuppj8ryjhkqhj4wms5atntu9s7mysxuyh6,osmo,uosmo,1060469,
3,osmo10ez7apnf7f2q4jkqs7jaehc2xd9prm8lvu3hzu,atom,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,14994008,
3,osmo10ez7apnf7f2q4jkqs7jaehc2xd9prm8lvu3hzu,usdc,ibc/498A0751C798A0D9A389AA3691123DADA57DAA4FE165D5C75894505B876BA6E4,294794508,
3,osmo10ez7apnf7f2q4jkqs7jaehc2xd9prm8lvu3hzu,osmo,uosmo,2647149,
